REDSHIFT,DISTANCE,TIME,A(T)
-0.950781977,-0.28567024,-1.59544,0.899280576
-0.493494968,0.422917981,-8.15584,0.757002271
-0.477555766,0.341830057,-6.76676,0.750187547
-1.522878745,-0.860120914,-0.42504,0.970873786
-0.543633967,0.481012421,-9.32316,0.777604977
-0.536107011,0.474798819,-9.19072,0.774593338
-0.493494968,0.277150614,-5.83044,0.757002271
-0.477555766,0.357363031,-7.01316,0.750187547
-0.818156412,-0.14691047,-2.19604,0.868055556
0.825426118,-0.984640245,-0.319088,0.130039012
