plate,mjd,fiberid,z,zErr,zWarning,class,distance
1732,53501,156,0.05161751,1.87E-05,0,GALAXY,212126.7534
1732,53501,157,0.1198005,2.86E-05,0,GALAXY,492330.8219
1732,53501,158,0.1203983,2.30E-05,0,GALAXY,494787.5342
1732,53501,160,0.228462,9.56E-06,0,GALAXY,938884.9315
1732,53501,161,0.13105,2.38E-05,0,GALAXY,538561.6438
1732,53501,162,0.1635163,3.03E-05,0,GALAXY,671984.7945
1732,53501,164,0.1156222,1.26E-05,0,GALAXY,475159.726
1732,53501,165,0.02380018,1.46E-05,0,GALAXY,97808.9589
1732,53501,166,0.08998851,1.51E-05,0,GALAXY,369815.7945
1732,53501,167,0.07464347,5.61E-06,0,GALAXY,306753.9863
1732,53501,171,0.1973291,3.95E-05,0,GALAXY,810941.5068
1732,53501,174,0.1437507,1.08E-05,0,GALAXY,590756.3014
1732,53501,175,0.1631099,2.49E-05,0,GALAXY,670314.6575
1732,53501,177,0.05079896,1.06E-05,0,GALAXY,208762.8493
1732,53501,178,0.1201114,7.92E-06,0,GALAXY,493608.4932
1732,53501,180,0.3234496,8.73E-05,0,GALAXY,1329244.932
1732,53501,182,0.02920734,1.13E-05,0,GALAXY,120030.1644
1732,53501,183,0.218879,3.52E-05,0,GALAXY,899502.7397
1732,53501,184,0.1255444,5.47E-06,0,GALAXY,515935.8904
1732,53501,185,0.1346652,2.33E-05,0,GALAXY,553418.6301
1732,53501,186,0.07194745,8.51E-06,0,GALAXY,295674.4521
1732,53501,188,0.02937082,1.13E-05,0,GALAXY,120702
1732,53501,189,0.2002551,4.61E-05,0,GALAXY,822966.1644
1732,53501,192,0.1976098,3.98E-05,0,GALAXY,812095.0685
1732,53501,193,0.340526,9.78E-05,0,GALAXY,1399421.918
1732,53501,195,0.3696586,8.99E-05,0,GALAXY,1519144.932
1732,53501,197,0.0687141,1.35E-05,0,GALAXY,282386.7123
1732,53501,198,0.06123198,1.68E-05,0,GALAXY,251638.274
1732,53501,201,0.1526499,1.80E-05,0,GALAXY,627328.3562
1732,53501,204,0.3016798,6.67E-05,0,GALAXY,1239780
1732,53501,211,0.1260111,3.18E-05,0,GALAXY,517853.8356
1732,53501,212,0.1255961,1.38E-05,0,GALAXY,516148.3562
1732,53501,213,0.3792245,0.0001614,0,GALAXY,1558456.849
1732,53501,214,0.3403813,0.000102539,0,GALAXY,1398827.26
1732,53501,215,0.1026591,6.88E-06,0,GALAXY,421886.7123
1732,53501,216,0.132699,1.53E-05,0,GALAXY,545338.3562
1733,53047,265,0.1678254,3.14E-05,0,GALAXY,689693.4247
1733,53047,266,0.1169444,1.94E-05,0,GALAXY,480593.4247
1733,53047,267,0.3033589,5.56E-05,0,GALAXY,1246680.411
1733,53047,270,0.1313406,8.93E-06,0,GALAXY,539755.8904
1733,53047,271,0.4239417,0.000102252,0,GALAXY,1742226.164
1733,53047,273,0.1348372,2.57E-05,0,GALAXY,554125.4795
1733,53047,274,0.1524391,1.67E-05,0,GALAXY,626462.0548
1733,53047,275,0.0524407,1.01E-05,0,GALAXY,215509.726
1733,53047,276,0.08039234,6.68E-06,0,GALAXY,330379.4795
1733,53047,277,0.1350479,2.90E-05,0,GALAXY,554991.3699
1733,53047,279,0.05584808,1.04E-05,0,GALAXY,229512.6575
1733,53047,281,0.09771755,2.02E-05,0,GALAXY,401578.9726
1733,53047,282,0.1526698,3.58E-05,0,GALAXY,627410.137
1733,53047,283,0.07088678,2.88E-05,0,GALAXY,291315.5342
1733,53047,284,0.09684804,2.36E-05,0,GALAXY,398005.6438
1733,53047,285,0.06878782,1.59E-05,0,GALAXY,282689.6712
1733,53047,286,0.07964223,1.65E-05,0,GALAXY,327296.8356
1733,53047,289,0.1527517,3.36E-05,0,GALAXY,627746.7123
1733,53047,290,0.3312209,7.65E-05,0,GALAXY,1361181.781
1733,53047,291,0.1527297,3.25E-05,0,GALAXY,627656.3014
1733,53047,293,0.08075736,1.76E-05,0,GALAXY,331879.5616
1733,53047,294,0.153419,3.70E-05,0,GALAXY,630489.0411
1733,53047,295,0.1220268,2.48E-05,0,GALAXY,501480
1733,53047,297,0.154126,2.89E-05,0,GALAXY,633394.5205
1733,53047,298,0.1537738,3.38E-05,0,GALAXY,631947.1233
1733,53047,300,0.1533461,3.18E-05,0,GALAXY,630189.4521
1733,53047,304,0.06973924,2.54E-05,0,GALAXY,286599.6164
1733,53047,305,0.07979405,2.27E-05,0,GALAXY,327920.7534
1733,53047,306,0.09273261,1.12E-05,0,GALAXY,381092.9178
1733,53047,307,0.07008426,7.29E-06,0,GALAXY,288017.5068
1733,53047,310,0.1535951,3.23E-05,0,GALAXY,631212.7397
1733,53047,312,0.08174369,9.33E-06,0,GALAXY,335932.9726
1733,53047,313,0.05417799,1.84E-05,0,GALAXY,222649.274
1733,53047,314,0.0802415,8.16E-06,0,GALAXY,329759.589
1733,53047,315,0.07989045,1.19E-05,0,GALAXY,328316.9178
1733,53047,316,0.1533241,1.84E-05,0,GALAXY,630099.0411
1733,53047,317,0.0694664,1.83E-05,0,GALAXY,285478.3562
1733,53047,318,0.1348277,2.72E-05,0,GALAXY,554086.4384
1733,53047,319,0.07031406,9.02E-06,0,GALAXY,288961.8904
1733,53047,320,0.05277609,1.27E-05,0,GALAXY,216888.0411
1733,53047,321,0.0767542,1.33E-05,0,GALAXY,315428.2192
1733,53047,322,0.07981596,5.96E-06,0,GALAXY,328010.7945
1733,53047,326,0.1114084,1.15E-05,0,GALAXY,457842.7397
1733,53047,327,0.1061173,2.53E-05,0,GALAXY,436098.4932
1733,53047,328,0.3240303,8.75E-05,0,GALAXY,1331631.37
1734,53034,381,0.100283,8.26E-06,0,GALAXY,412121.9178
1734,53034,383,0.1230689,9.26E-06,0,GALAXY,505762.6027
1734,53034,386,0.1207827,2.99E-05,0,GALAXY,496367.2603
1734,53034,387,0.1225844,2.30E-05,0,GALAXY,503771.5068
1734,53034,388,0.2172369,1.49E-05,0,GALAXY,892754.3836
1734,53034,389,0.1740418,2.57E-05,0,GALAXY,715240.274
1734,53034,391,0.07174757,1.27E-05,0,GALAXY,294853.0274
1734,53034,392,0.07361266,2.08E-05,0,GALAXY,302517.7808
1734,53034,393,0.1221656,1.36E-05,0,GALAXY,502050.411
1734,53034,394,0.0492089,2.66E-05,0,GALAXY,202228.3562
1734,53034,395,0.1163412,2.95E-05,0,GALAXY,478114.5205
1734,53034,397,0.4262053,0.000166394,0,GALAXY,1751528.63
1734,53034,398,0.08746214,3.58E-05,0,GALAXY,359433.4521
1734,53034,400,0.1057941,6.08E-06,0,GALAXY,434770.274
1734,53034,401,0.120733,3.03E-05,0,GALAXY,496163.0137
1734,53034,402,0.002973118,4.16E-06,0,GALAXY,12218.29315
1734,53034,403,0.1173868,2.77E-05,0,GALAXY,482411.5068
1734,53034,404,0.05889077,1.24E-05,0,GALAXY,242016.863
1734,53034,405,0.07303063,5.64E-06,0,GALAXY,300125.8767
